Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,comb
lakk mera hit,"mannat noor, rochak kohli, sukriti kakar",bollywooddance,sonu ke titu ki sweety,9.2/10,"lakk mera hit mannat noor, rochak kohli, sukriti kakar sonu ke titu ki sweety bollywooddance"
sexy baliye,mika singh,bollywooddance,dil chahta hai,8.8/10,sexy baliye mika singh dil chahta hai bollywooddance
main jahaan rahoon,rahat fateh ali khan,bollywoodsad,namastey london,9.1/10,main jahaan rahoon rahat fateh ali khan namastey london bollywoodsad
hasi ban gaye,shreya ghoshal,bollywoodromantic,hamari adhuri kahani,9.3/10,hasi ban gaye shreya ghoshal hamari adhuri kahani bollywoodromantic
nachde ne saare,"harshdeep kaur, jasleen royal, siddharth mahadevan",bollywooddance,baar baar dekho,9.2/10,"nachde ne saare harshdeep kaur, jasleen royal, siddharth mahadevan baar baar dekho bollywooddance"
manma emotion jaage,"amit mishra, antara mitra, anushka manchanda",bollywooddanceromantic,dilwale,9.0/10,"manma emotion jaage amit mishra, antara mitra, anushka manchanda dilwale bollywooddanceromantic"
happy happy,"aastha gill, badshah",bollywood,blackmail,9.2/10,"happy happy aastha gill, badshah blackmail bollywood"
tujhko na dekhun,"sunidhi chauhan, udit narayan",bollywood,jaanwar,8.5/10,"tujhko na dekhun sunidhi chauhan, udit narayan jaanwar bollywood"
theher ja,armaan malik,bollywoodromantic,october,9.6/10,theher ja armaan malik october bollywoodromantic
boond boond,"jubin nautiyal, neeti mohan",bollywoodromantic,hate story 4,9.3/10,"boond boond jubin nautiyal, neeti mohan hate story 4 bollywoodromantic"
adhura lafz,"pratibha singh baghel, rahat fateh ali khan",bollywoodromantic,baazaar,9.7/10,"adhura lafz pratibha singh baghel, rahat fateh ali khan baazaar bollywoodromantic"
trippy trippy,"badshah, benny dayal, brijesh shandilya, neha kakkar",bollywooddance,bhoomi,8.5/10,"trippy trippy badshah, benny dayal, brijesh shandilya, neha kakkar bhoomi bollywooddance"
tukur tukur,"arijit singh, kanika kapoor, nakash aziz, neha kakkar, siddharth mahadevan",bollywooddance,dilwale,8.9/10,"tukur tukur arijit singh, kanika kapoor, nakash aziz, neha kakkar, siddharth mahadevan dilwale bollywooddance"
teri khair mangdi,bilal saeed,bollywoodsad,baar baar dekho,9.6/10,teri khair mangdi bilal saeed baar baar dekho bollywoodsad
pinga,"shreya ghoshal, vasihali made",bollywooddance,bajirao mastani,8.7/10,"pinga shreya ghoshal, vasihali made bajirao mastani bollywooddance"
haanikaarak,sarwar khan,bollywood,dangal,8.4/10,haanikaarak sarwar khan dangal bollywood
tere thumke sapna chaudhary,"gunwant sen, khushboo jain, saumya upadhyay",bollywooddance,nanu ki jaanu,9.2/10,"tere thumke sapna chaudhary gunwant sen, khushboo jain, saumya upadhyay nanu ki jaanu bollywooddance"
badnaamiyan,armaan malik,bollywoodromantic,hate story 4,9.2/10,badnaamiyan armaan malik hate story 4 bollywoodromantic
malhari,vishal dadlani,bollywooddance,bajirao mastani,9.1/10,malhari vishal dadlani bajirao mastani bollywooddance
piya more,"mika singh, neeti mohan",bollywood,baadshaho,9.1/10,"piya more mika singh, neeti mohan baadshaho bollywood"
high heels te nachche,"aditi singh sharma, jaz dhami, meet bros",bollywooddance,ki & ka,8.7/10,"high heels te nachche aditi singh sharma, jaz dhami, meet bros ki & ka bollywooddance"
shake karaan,"kanika kapoor, meet bros",bollywooddance,munna michael,8.9/10,"shake karaan kanika kapoor, meet bros munna michael bollywooddance"
thodi der,"farhan saeed, shreya ghoshal",bollywoodsad,half girlfriend,9.4/10,"thodi der farhan saeed, shreya ghoshal half girlfriend bollywoodsad"
har dil jo pyar karega,"alka yagnik, udit narayan",bollywooddance,har dil jo pyar karega,8.4/10,"har dil jo pyar karega alka yagnik, udit narayan har dil jo pyar karega bollywooddance"
raabta,nikhita gandhi,bollywoodromantic,raabta,9.0/10,raabta nikhita gandhi raabta bollywoodromantic
nach meri jaan,"dev negi, kamaal khan, nakash aziz, tushar joshi",bollywooddance,tubelight,9.1/10,"nach meri jaan dev negi, kamaal khan, nakash aziz, tushar joshi tubelight bollywooddance"
janam janam,"antara mitra, arijit singh",bollywoodromantic,dilwale,9.4/10,"janam janam antara mitra, arijit singh dilwale bollywoodromantic"
andha dhun,raftaar,bollywooddance,andha dhun,9.6/10,andha dhun raftaar andha dhun bollywooddance
holi biraj ma,jubin nautiyal,bollywooddance,genius,9.3/10,holi biraj ma jubin nautiyal genius bollywooddance
kal ho naa ho title track,sonu nigam,bollywoodsad,kal ho naa ho,9.5/10,kal ho naa ho title track sonu nigam kal ho naa ho bollywoodsad
enna sona,"a.r. rahman, arijit singh",bollywoodromantic,ok jaanu,9.5/10,"enna sona a.r. rahman, arijit singh ok jaanu bollywoodromantic"
little little,harrdy sandhu,bollywooddance,yamla pagla deewana phir se,9.2/10,little little harrdy sandhu yamla pagla deewana phir se bollywooddance
maa sherawaliye,sonu nigam,bollywood,khiladiyon ka khiladi,7.6/10,maa sherawaliye sonu nigam khiladiyon ka khiladi bollywood
disco disco,"benny dayal, shirley setia",bollywooddance,a gentleman,8.9/10,"disco disco benny dayal, shirley setia a gentleman bollywooddance"
lambiyaan si judaiyaan,"altamash faridi, arijit singh, shadaab faridi",bollywoodsad,raabta,9.6/10,"lambiyaan si judaiyaan altamash faridi, arijit singh, shadaab faridi raabta bollywoodsad"
aahista,"arijit singh, jonita gandhi",bollywoodromantic,laila majnu,9.4/10,"aahista arijit singh, jonita gandhi laila majnu bollywoodromantic"
naam hai bhaiaji,"amit mishra, raftaar",bollywood,bhaiaji superhit,9.4/10,"naam hai bhaiaji amit mishra, raftaar bhaiaji superhit bollywood"
kisi se tum pyaar karo,"alka yagnik, kumar sanu",bollywoodromantic,andaaz,8.6/10,"kisi se tum pyaar karo alka yagnik, kumar sanu andaaz bollywoodromantic"
naam hai bhaiaji,"amit mishra, raftaar",bollywood,bhaiaji superhit,9.4/10,"naam hai bhaiaji amit mishra, raftaar bhaiaji superhit bollywood"
baba bolta hain bas ho gaya,"papon, ranbir kapoor, supriya pathak",bollywood,sanju,9.6/10,"baba bolta hain bas ho gaya papon, ranbir kapoor, supriya pathak sanju bollywood"
sultan title song,"shadaab faridi, sukhwinder singh",bollywoodmotivational,sultan,8.9/10,"sultan title song shadaab faridi, sukhwinder singh sultan bollywoodmotivational"
radio,"amit mishra, kamaal khan",bollywooddance,tubelight,8.6/10,"radio amit mishra, kamaal khan tubelight bollywooddance"
sab badhiya hai,sukhwinder singh,bollywooddance,sui dhaaga,9.2/10,sab badhiya hai sukhwinder singh sui dhaaga bollywooddance
chin chin chu,"jassi gill, sonakshi sinha",bollywooddance,happy phirr bhaag jayegi,8.7/10,"chin chin chu jassi gill, sonakshi sinha happy phirr bhaag jayegi bollywooddance"
beat pe booty,"jigar saraiya, kanika kapoor, sachin sanghvi, vayu",bollywooddance,a flying jatt,8.9/10,"beat pe booty jigar saraiya, kanika kapoor, sachin sanghvi, vayu a flying jatt bollywooddance"
jag ghoomeya,rahat fateh ali khan,bollywoodromantic,sultan,8.7/10,jag ghoomeya rahat fateh ali khan sultan bollywoodromantic
jogi,"aakanksha sharma, yasser desai",bollywoodromantic,shaadi mein zaroor aana,9.6/10,"jogi aakanksha sharma, yasser desai shaadi mein zaroor aana bollywoodromantic"
lets nacho,"badshah, benny dayal",bollywooddance,kapoor & sons,9.2/10,"lets nacho badshah, benny dayal kapoor & sons bollywooddance"
tu tu hai wahi,"asha bhosle, kishore kumar",bollywoodromantic,yeh vaada raha,9.2/10,"tu tu hai wahi asha bhosle, kishore kumar yeh vaada raha bollywoodromantic"
yeh vaada raha,"asha bhosle, kishore kumar",bollywooddance,yeh vaada raha,9.2/10,"yeh vaada raha asha bhosle, kishore kumar yeh vaada raha bollywooddance"
vande mataram,"badshah, daler mehndi, divya kumar, tanishka sanghvi",bollywooddance,abcd 2,9.4/10,"vande mataram badshah, daler mehndi, divya kumar, tanishka sanghvi abcd 2 bollywooddance"
jeene laga hoon,atif aslam,bollywoodromantic,ramaiya vastavaiya,9.0/10,jeene laga hoon atif aslam ramaiya vastavaiya bollywoodromantic
nit khair manga,rahat fateh ali khan,bollywoodromantic,raid,9.4/10,nit khair manga rahat fateh ali khan raid bollywoodromantic
jitni dafa,"jeet gannguli, yasser desai",bollywoodromantic,parmanu the story of pokhran,9.7/10,"jitni dafa jeet gannguli, yasser desai parmanu the story of pokhran bollywoodromantic"
wajah tum ho,armaan malik,bollywoodromanticsensual,hate story 3,8.8/10,wajah tum ho armaan malik hate story 3 bollywoodromanticsensual
rozana,shreya ghoshal,bollywoodromantic,naam shabana,9.6/10,rozana shreya ghoshal naam shabana bollywoodromantic
tu meri main tera,"altamash faridi, rahat fateh ali khan, shadab faridi",bollywoodromanticsad,namaste england,9.4/10,"tu meri main tera altamash faridi, rahat fateh ali khan, shadab faridi namaste england bollywoodromanticsad"
gallan goodiyaan,"farhan akhtar, manish kumar tipu, shankar mahadevan, sukhwinder singh, yashita sharma",bollywooddance,dil dhadakne do,8.9/10,"gallan goodiyaan farhan akhtar, manish kumar tipu, shankar mahadevan, sukhwinder singh, yashita sharma dil dhadakne do bollywooddance"
swag se swagat (arabic),"brigitte yaghi, neha bhasin, rabih baroud, vishal dadlani",bollywooddance,tiger zinda hai,9.4/10,"swag se swagat (arabic) brigitte yaghi, neha bhasin, rabih baroud, vishal dadlani tiger zinda hai bollywooddance"
kudiya shehar diyan,"daler mehndi, neha kakkar",bollywooddance,poster boys,9.0/10,"kudiya shehar diyan daler mehndi, neha kakkar poster boys bollywooddance"
kudiya shehar diyan,"daler mehndi, neha kakkar",bollywooddance,poster boys,9.0/10,"kudiya shehar diyan daler mehndi, neha kakkar poster boys bollywooddance"
aap se milkar,"aakanksha sharma, ayushmann khurrana",bollywoodromantic,andha dhun,9.5/10,"aap se milkar aakanksha sharma, ayushmann khurrana andha dhun bollywoodromantic"
socha hai,"jubin nautiyal, neeti mohan",bollywoodromantic,baadshaho,9.5/10,"socha hai jubin nautiyal, neeti mohan baadshaho bollywoodromantic"
sawan aaya hai (unplugged version),"neha kakkar, tony kakkar",bollywoodsad,creature 3d,9.3/10,"sawan aaya hai (unplugged version) neha kakkar, tony kakkar creature 3d bollywoodsad"
pehle ke jaisa,k.k.,bollywoodsad,jalebi,9.7/10,pehle ke jaisa k.k. jalebi bollywoodsad
main woh chaand,darshan raval,bollywoodromanticsad,teraa surroor,9.0/10,main woh chaand darshan raval teraa surroor bollywoodromanticsad
ankhiyon se goli mare,"jaspinder narula, sonu nigam",bollywooddance,dulhe raja,8.2/10,"ankhiyon se goli mare jaspinder narula, sonu nigam dulhe raja bollywooddance"
jab tak,"amaal mallik, armaan malik",bollywoodromantic,m.s. dhoni,9.4/10,"jab tak amaal mallik, armaan malik m.s. dhoni bollywoodromantic"
luv letter,"kanika kapoor, meet bros",bollywooddance,the legend of michael mishra,9.1/10,"luv letter kanika kapoor, meet bros the legend of michael mishra bollywooddance"
ullu ka pattha,"arijit singh, nikhita gandhi",bollywood,jagga jasoos,8.8/10,"ullu ka pattha arijit singh, nikhita gandhi jagga jasoos bollywood"
yaad hai na,arijit singh,bollywoodromantic,raaz reboot,9.1/10,yaad hai na arijit singh raaz reboot bollywoodromantic
balma,"rekha bhardwaj, sunidhi chauhan",bollywooddance,pataakha,9.2/10,"balma rekha bhardwaj, sunidhi chauhan pataakha bollywooddance"
kisi se pyar ho jaye,jubin nautiyal,bollywooddanceromantic,kaabil,9.2/10,kisi se pyar ho jaye jubin nautiyal kaabil bollywooddanceromantic
sau aasmaan,"armaan malik, neeti mohan",bollywooddance,baar baar dekho,9.4/10,"sau aasmaan armaan malik, neeti mohan baar baar dekho bollywooddance"
beparwah,"nandini deb, siddharth basrur",bollywooddance,munna michael,9.0/10,"beparwah nandini deb, siddharth basrur munna michael bollywooddance"
yaad hai,"ankit tiwari, palak muchhal",bollywoodsad,aiyaary,9.7/10,"yaad hai ankit tiwari, palak muchhal aiyaary bollywoodsad"
dhayaan chand,"amit trivedi, nikhita gandhi, suhas sawant, vijay yamla",bollywooddance,manmarziyaan,9.4/10,"dhayaan chand amit trivedi, nikhita gandhi, suhas sawant, vijay yamla manmarziyaan bollywooddance"
aaj zid,arijit singh,bollywoodsensual,aksar 2,9.1/10,aaj zid arijit singh aksar 2 bollywoodsensual
hum pyaar hai tumhare,"alka yagnik, kumar sanu",bollywoodromantic,haan maine bhi pyaar kiya,8.8/10,"hum pyaar hai tumhare alka yagnik, kumar sanu haan maine bhi pyaar kiya bollywoodromantic"
main hoon,siddharth mahadevan,bollywooddance,munna michael,9.1/10,main hoon siddharth mahadevan munna michael bollywooddance
swag saha nahi jaye,"neha bhasin, shadab faridi, sohail sen",bollywooddance,happy phirr bhaag jayegi,9.1/10,"swag saha nahi jaye neha bhasin, shadab faridi, sohail sen happy phirr bhaag jayegi bollywooddance"
chote bade,"ankit tiwari, mika singh",bollywooddance,fry day,8.7/10,"chote bade ankit tiwari, mika singh fry day bollywooddance"
main hoon saath tere,arijit singh,bollywoodromantic,shaadi mein zaroor aana,9.7/10,main hoon saath tere arijit singh shaadi mein zaroor aana bollywoodromantic
kabira,"rekha bhardwaj, tochi raina",bollywoodsad,yeh jawaani hai deewani,9.4/10,"kabira rekha bhardwaj, tochi raina yeh jawaani hai deewani bollywoodsad"
main kaun hoon,meghna mishra,bollywoodsad,secret superstar,9.5/10,main kaun hoon meghna mishra secret superstar bollywoodsad
aashiq surrender hua,"amaal mallik, shreya ghoshal",bollywooddance,badrinath ki dulhania,8.8/10,"aashiq surrender hua amaal mallik, shreya ghoshal badrinath ki dulhania bollywooddance"
nachan farrate,"kanika kapoor, meet bros",bollywooddance,all is well,8.9/10,"nachan farrate kanika kapoor, meet bros all is well bollywooddance"
pyar de pyar le,"dev negi, ikka, iulia vantur",bollywooddance,genius,9.3/10,"pyar de pyar le dev negi, ikka, iulia vantur genius bollywooddance"
do peg maar,neha kakkar,bollywooddance,one night stand,8.5/10,do peg maar neha kakkar one night stand bollywooddance
tera noor,jyoti nooran,bollywood,tiger zinda hai,9.3/10,tera noor jyoti nooran tiger zinda hai bollywood
jaanu,"juggy d, raftaar, shivi",bollywooddance,behen hogi teri,9.2/10,"jaanu juggy d, raftaar, shivi behen hogi teri bollywooddance"
hamdard,arijit singh,bollywoodromantic,ek villain,9.5/10,hamdard arijit singh ek villain bollywoodromantic
hawa hawai 2.0,"kavita krishnamurthy, shashaa tirupati",bollywooddance,tumhari sulu,8.9/10,"hawa hawai 2.0 kavita krishnamurthy, shashaa tirupati tumhari sulu bollywooddance"
dhoom dhadakka,"antara mitra, shahid mallya",bollywooddance,namaste england,9.1/10,"dhoom dhadakka antara mitra, shahid mallya namaste england bollywooddance"
lovely,"fateh, kanika kapoor, miraya varma, ravindra upadhyay",bollywooddance,happy new year,9.3/10,"lovely fateh, kanika kapoor, miraya varma, ravindra upadhyay happy new year bollywooddance"
mohabbat nasha hai,"neha kakkar, tony kakkar",bollywoodsad,hate story 4,9.4/10,"mohabbat nasha hai neha kakkar, tony kakkar hate story 4 bollywoodsad"
chal wahan jaate hain,arijit singh,bollywoodromantic,heropanti,9.3/10,chal wahan jaate hain arijit singh heropanti bollywoodromantic
ishq de fanniyar,jyotica tangri,bollywoodromantic,fukrey returns,9.6/10,ishq de fanniyar jyotica tangri fukrey returns bollywoodromantic
palat tera hero idhar hai,arijit singh,bollywooddanceromantic,main tera hero,8.8/10,palat tera hero idhar hai arijit singh main tera hero bollywooddanceromantic
tab bhi tu,rahat fateh ali khan,bollywoodsad,october,9.6/10,tab bhi tu rahat fateh ali khan october bollywoodsad
yeh ladka hai allah,"alka yadnik, udit narayan",bollywooddance,kabhi khushi kabhie gham,9.1/10,"yeh ladka hai allah alka yadnik, udit narayan kabhi khushi kabhie gham bollywooddance"
tujhe yaad na meri aayee,"alka yagnik, manpreet akhtar, udit narayan",bollywoodsad,kuch kuch hota hai,8.8/10,"tujhe yaad na meri aayee alka yagnik, manpreet akhtar, udit narayan kuch kuch hota hai bollywoodsad"
jalte diye,"anwesshaa, harshdeep kaur, shabab sabri, vineet singh",bollywoodromantic,prem ratan dhan payo,8.8/10,"jalte diye anwesshaa, harshdeep kaur, shabab sabri, vineet singh prem ratan dhan payo bollywoodromantic"
zindagi bana loon,palak muchhal,bollywoodromantic,sweetiee weds nri,9.4/10,zindagi bana loon palak muchhal sweetiee weds nri bollywoodromantic
humnava,papon,bollywoodsad,hamari adhuri kahani,9.4/10,humnava papon hamari adhuri kahani bollywoodsad
galliyan,ankit tiwari,bollywoodromantic,ek villain,9.4/10,galliyan ankit tiwari ek villain bollywoodromantic
tere chehre mein woh jaadu hai,kishore kumar,bollywoodromantic,dharmatma,8.1/10,tere chehre mein woh jaadu hai kishore kumar dharmatma bollywoodromantic
golmaal again title track,"aditi singh sharma, brijesh shandilya",bollywooddance,golmaal again,9.0/10,"golmaal again title track aditi singh sharma, brijesh shandilya golmaal again bollywooddance"
suno ganpati bappa morya,amit mishra,bollywooddance,judwaa 2,8.5/10,suno ganpati bappa morya amit mishra judwaa 2 bollywooddance
dil dene ki ruth,"alka yagnik, vinod rathod",bollywooddance,prem granth,7.5/10,"dil dene ki ruth alka yagnik, vinod rathod prem granth bollywooddance"
soch na sake,"amaal mallik, arijit singh, tulsi kumar",bollywoodromantic,airlift,9.3/10,"soch na sake amaal mallik, arijit singh, tulsi kumar airlift bollywoodromantic"
tu meri,vishal dadlani,bollywooddanceromantic,bang bang,9.5/10,tu meri vishal dadlani bang bang bollywooddanceromantic
baby ko bass pasand hai,"badshah, ishita, shalmali kholgade, vishal dadlani",bollywooddance,sultan,7.9/10,"baby ko bass pasand hai badshah, ishita, shalmali kholgade, vishal dadlani sultan bollywooddance"
daddy mummy,"devi sri prasad, m. m. manasi",bollywooddance,bhaag johnny,9.0/10,"daddy mummy devi sri prasad, m. m. manasi bhaag johnny bollywooddance"
dekha hazaro dafaa,"arijit singh, palak muchhal",bollywoodromantic,rustom,9.6/10,"dekha hazaro dafaa arijit singh, palak muchhal rustom bollywoodromantic"
khatar patar,papon,bollywooddance,sui dhaaga,9.4/10,khatar patar papon sui dhaaga bollywooddance
tu mera bhai nahi hai,"gandhharv sachdeav, raftaar",bollywood,fukrey returns,9.5/10,"tu mera bhai nahi hai gandhharv sachdeav, raftaar fukrey returns bollywood"
party with the bhoothnath,yo yo honey singh,bollywooddance,bhoothnath returns,9.0/10,party with the bhoothnath yo yo honey singh bhoothnath returns bollywooddance
hasi,ami mishra,bollywoodromanticsad,hamari adhuri kahani,9.5/10,hasi ami mishra hamari adhuri kahani bollywoodromanticsad
good man di laaltein,"sukhwinder singh, sunidhi chauhan",bollywooddance,soorma,9.5/10,"good man di laaltein sukhwinder singh, sunidhi chauhan soorma bollywooddance"
